         6576 function calls (6569 primitive calls) in 30.392 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   30.392   30.392 build_and_train_neural_network.py:336(run_app)
        1    0.000    0.000   30.392   30.392 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/dash/dash.py:1448(run_server)
        1    0.000    0.000   30.390   30.390 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/flask/app.py:889(run)
        1    0.000    0.000   30.388   30.388 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/werkzeug/serving.py:876(run_simple)
        1    0.000    0.000   30.388   30.388 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/werkzeug/serving.py:991(inner)
        1    0.000    0.000   30.386   30.386 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/werkzeug/serving.py:774(serve_forever)
        1    0.001    0.001   30.386   30.386 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/socketserver.py:215(serve_forever)
       82    0.002    0.000   30.318    0.370 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/selectors.py:402(select)
       82   30.316    0.370   30.316    0.370 {method 'poll' of 'select.poll' objects}
       46    0.000    0.000    0.067    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/socketserver.py:303(_handle_request_noblock)
       46    0.001    0.000    0.062    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/socketserver.py:656(process_request)
       46    0.001    0.000    0.058    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:834(start)
       46    0.000    0.000    0.055    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:540(wait)
       46    0.001    0.000    0.054    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:270(wait)
      185    0.053    0.000    0.053    0.000 {method 'acquire' of '_thread.lock' objects}
       46    0.000    0.000    0.004    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/werkzeug/serving.py:792(get_request)
       46    0.001    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/socket.py:285(accept)
       46    0.003    0.000    0.003    0.000 {built-in method _thread.start_new_thread}
       46    0.001    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:761(__init__)
        1    0.000    0.000    0.002    0.002 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/flask/app.py:884(debug)
        1    0.000    0.000    0.002    0.002 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/flask/helpers.py:951(__get__)
        1    0.000    0.000    0.002    0.002 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/flask/app.py:681(jinja_env)
        1    0.000    0.000    0.002    0.002 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/flask/app.py:761(create_jinja_environment)
        1    0.000    0.000    0.002    0.002 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/flask/templating.py:42(__init__)
        1    0.000    0.000    0.002    0.002 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/jinja2/environment.py:288(__init__)
        1    0.000    0.000    0.002    0.002 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/jinja2/environment.py:101(load_extensions)
        2    0.000    0.000    0.002    0.001 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/jinja2/utils.py:125(import_string)
        3    0.000    0.000    0.002    0.001 {built-in method builtins.__import__}
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:986(_find_and_load)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:650(_load_unlocked)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:777(exec_module)
       46    0.002    0.000    0.002    0.000 {method '_accept' of '_socket.socket' objects}
        1    0.000    0.000    0.002    0.002 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/dash/dash.py:1232(enable_dev_tools)
        1    0.000    0.000    0.001    0.001 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/dash/dash.py:1205(_setup_dev_tools)
        9    0.000    0.000    0.001    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/dash/_configs.py:43(get_combined_config)
        9    0.000    0.000    0.001    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/dash/_configs.py:8(load_dash_env_vars)
        9    0.000    0.000    0.001    0.000 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/dash/_configs.py:10(<dictcomp>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:849(get_code)
        1    0.000    0.000    0.001    0.001 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/werkzeug/serving.py:830(make_server)
        1    0.000    0.000    0.001    0.001 /Users/adnanbadri/Enviroments/DJANGO/lib/python3.8/site-packages/werkzeug/serving.py:716(__init__)
      397    0.000    0.000    0.001    0.000 /Users/adnanbadri/Enviroments/DJANGO/bin/../lib/python3.8/os.py:764(getenv)
