,year,systemic_crisis,case,domestic_debt_in_default_1
0,1870,1,1,0
1,1871,0,1,0
2,1872,0,1,0
3,1873,0,1,0
4,1874,0,1,0
5,1875,0,1,0
6,1876,0,1,0
7,1877,0,1,0
8,1878,0,1,0
9,1879,0,1,0
10,1880,0,1,0
11,1881,0,1,0
12,1882,0,1,0
13,1883,0,1,0
14,1884,0,1,0
15,1939,0,1,0
16,1940,0,1,0
17,1941,0,1,0
18,1942,0,1,0
19,1943,0,1,0
20,1944,0,1,0
21,1945,0,1,0
22,1946,0,1,0
23,1947,0,1,0
24,1948,0,1,0
25,1949,0,1,0
26,1950,0,1,0
27,1951,0,1,0
28,1952,0,1,0
29,1953,0,1,0
30,1954,0,1,0
31,1955,0,1,0
32,1956,0,1,0
33,1957,0,1,0
34,1958,0,1,0
35,1959,0,1,0
36,1960,0,1,0
37,1961,0,1,0
38,1968,0,1,0
39,1969,0,1,0
40,1970,0,1,0
41,1971,0,1,0
42,1972,0,1,0
43,1973,0,1,0
44,1974,0,1,0
45,1975,0,1,0
46,1976,0,1,0
47,1977,0,1,0
48,1978,0,1,0
49,1979,0,1,0
50,1980,0,1,0
51,1981,0,1,0
52,1982,0,1,0
53,1983,0,1,0
54,1984,0,1,0
55,1985,0,1,0
56,1986,0,1,0
57,1987,0,1,0
58,1988,0,1,0
59,1989,0,1,0
60,1990,1,1,0
61,1991,1,1,0
62,1992,1,1,0
63,1993,0,1,0
64,1994,0,1,0
65,1995,0,1,0
66,1996,0,1,0
67,1997,0,1,0
68,1998,0,1,0
69,1999,0,1,0
70,2000,0,1,0
71,2001,0,1,0
72,2002,0,1,0
73,2003,0,1,0
74,2004,0,1,0
75,2005,0,1,0
76,2006,0,1,0
77,2007,0,1,0
78,2008,0,1,0
79,2009,0,1,0
80,2010,0,1,0
81,2011,0,1,0
82,2012,0,1,0
83,2013,0,1,0
84,2014,0,1,0
85,1921,0,2,0
86,1922,0,2,0
87,1923,0,2,0
88,1924,0,2,0
89,1925,0,2,0
90,1926,0,2,0
91,1927,0,2,0
92,1928,0,2,0
93,1929,0,2,0
94,1930,0,2,0
95,1931,0,2,0
96,1932,0,2,0
97,1933,0,2,0
98,1934,0,2,0
99,1935,0,2,0
100,1936,0,2,0
101,1937,0,2,0
102,1938,0,2,0
103,1939,0,2,0
104,1940,0,2,0
105,1941,0,2,0
106,1942,0,2,0
107,1943,0,2,0
108,1944,0,2,0
109,1945,0,2,0
110,1946,0,2,0
111,1947,0,2,0
112,1948,0,2,0
113,1949,0,2,0
114,1950,0,2,0
115,1951,0,2,0
116,1952,0,2,0
117,1953,0,2,0
118,1954,0,2,0
119,1955,0,2,0
120,1956,0,2,0
121,1957,0,2,0
122,1958,0,2,0
123,1959,0,2,0
124,1960,0,2,0
125,1961,0,2,0
126,1962,0,2,0
127,1970,0,2,0
128,1971,0,2,0
129,1972,0,2,0
130,1973,0,2,0
131,1974,0,2,0
132,1975,0,2,0
133,1976,0,2,1
134,1977,0,2,0
135,1978,0,2,0
136,1979,0,2,0
137,1980,0,2,0
138,1991,0,2,0
139,1992,0,2,1
140,1993,0,2,1
141,1994,0,2,1
142,1995,0,2,1
143,1996,0,2,1
144,1997,0,2,1
145,1998,0,2,1
146,1999,0,2,1
147,2000,0,2,1
148,2001,0,2,1
149,2002,0,2,1
150,2003,0,2,0
151,2004,0,2,0
152,2005,0,2,0
153,2006,0,2,0
154,2007,0,2,0
155,2008,0,2,0
156,2009,0,2,0
157,2010,0,2,0
158,2011,0,2,0
159,2012,0,2,0
160,2013,0,2,0
161,2014,0,2,0
162,1957,0,10,0
163,1958,0,10,0
164,1959,0,10,0
165,1960,0,10,0
166,1961,0,10,0
167,1962,0,10,0
168,1963,0,10,0
169,1964,0,10,0
170,1965,0,10,0
171,1966,0,10,0
172,1967,0,10,0
173,1968,0,10,0
174,1969,0,10,0
175,1970,0,10,0
176,1971,0,10,0
177,1972,0,10,0
178,1973,0,10,0
179,1974,0,10,0
180,1975,0,10,0
181,1976,1,10,0
182,1977,1,10,0
183,1978,1,10,0
184,1979,1,10,0
185,1980,1,10,0
186,1981,1,10,0
187,1982,1,10,0
188,1983,0,10,0
189,1984,0,10,0
190,1985,0,10,0
191,1986,0,10,0
192,1987,0,10,0
193,1988,1,10,0
194,1989,1,10,0
195,1990,1,10,0
196,1991,1,10,0
197,1992,1,10,0
198,1993,1,10,0
199,1994,1,10,0
200,1995,1,10,0
201,1996,1,10,0
202,1997,1,10,0
203,1998,1,10,0
204,1999,1,10,0
205,2000,0,10,0
206,2001,0,10,0
207,2002,0,10,0
208,2003,0,10,0
209,2004,0,10,0
210,2005,0,10,0
211,2006,0,10,0
212,2007,0,10,0
213,2008,0,10,0
214,2009,0,10,0
215,2010,0,10,0
216,2011,0,10,0
217,2012,0,10,0
218,2013,0,10,0
219,2014,0,10,0
220,1952,0,15,0
221,1953,0,15,0
222,1954,0,15,0
223,1955,0,15,0
224,1956,0,15,0
225,1957,0,15,0
226,1958,0,15,0
227,1959,0,15,0
228,1960,0,15,0
229,1961,0,15,0
230,1962,0,15,0
231,1963,0,15,0
232,1964,0,15,0
233,1965,0,15,0
234,1966,0,15,0
235,1967,0,15,0
236,1968,0,15,0
237,1969,0,15,0
238,1970,0,15,0
239,1971,0,15,0
240,1972,0,15,0
241,1973,0,15,0
242,1974,0,15,0
243,1975,0,15,0
244,1976,0,15,0
245,1977,0,15,0
246,1978,0,15,0
247,1979,0,15,0
248,1980,0,15,0
249,1981,0,15,0
250,1982,0,15,0
251,1983,0,15,0
252,1984,0,15,0
253,1985,0,15,0
254,1986,0,15,0
255,1987,0,15,0
256,1988,1,15,0
257,1989,1,15,0
258,1990,1,15,0
259,1991,1,15,0
260,1992,0,15,0
261,1993,0,15,0
262,1994,0,15,0
263,1995,0,15,0
264,1996,0,15,0
265,1997,0,15,0
266,1998,0,15,0
267,1999,0,15,0
268,2000,0,15,0
269,2001,0,15,0
270,2002,0,15,0
271,2003,0,15,0
272,2004,0,15,0
273,2005,0,15,0
274,2006,0,15,0
275,2007,0,15,0
276,2008,0,15,0
277,2009,0,15,0
278,2010,0,15,0
279,2011,0,15,0
280,2012,0,15,0
281,2013,0,15,0
282,2014,0,15,0
283,1860,0,19,0
284,1861,0,19,0
285,1862,0,19,0
286,1863,0,19,0
287,1864,0,19,0
288,1865,0,19,0
289,1866,0,19,0
290,1867,0,19,0
291,1868,0,19,0
292,1869,0,19,0
293,1870,0,19,0
294,1871,0,19,0
295,1872,0,19,0
296,1873,0,19,0
297,1874,0,19,0
298,1875,0,19,0
299,1876,0,19,0
300,1877,0,19,0
301,1878,0,19,0
302,1879,0,19,0
303,1880,0,19,0
304,1881,0,19,0
305,1882,0,19,0
306,1883,0,19,0
307,1884,0,19,0
308,1885,0,19,0
309,1886,0,19,0
310,1887,0,19,0
311,1888,0,19,0
312,1889,0,19,0
313,1890,0,19,0
314,1891,0,19,0
315,1892,0,19,0
316,1893,0,19,0
317,1894,0,19,0
318,1895,0,19,0
319,1896,0,19,0
320,1897,0,19,0
321,1898,0,19,0
322,1899,0,19,0
323,1900,0,19,0
324,1901,0,19,0
325,1902,0,19,0
326,1903,0,19,0
327,1904,0,19,0
328,1905,0,19,0
329,1906,0,19,0
330,1907,1,19,0
331,1908,0,19,0
332,1909,0,19,0
333,1910,0,19,0
334,1911,0,19,0
335,1912,0,19,0
336,1913,0,19,0
337,1914,0,19,0
338,1915,0,19,0
339,1916,0,19,0
340,1917,0,19,0
341,1918,0,19,0
342,1919,0,19,0
343,1920,0,19,0
344,1921,0,19,0
345,1922,0,19,0
346,1923,0,19,0
347,1924,0,19,0
348,1925,0,19,0
349,1926,0,19,0
350,1927,0,19,0
351,1928,0,19,0
352,1929,0,19,0
353,1930,0,19,0
354,1931,1,19,0
355,1932,0,19,0
356,1933,0,19,0
357,1934,0,19,0
358,1935,0,19,0
359,1936,0,19,0
360,1937,0,19,0
361,1938,0,19,0
362,1939,0,19,0
363,1940,0,19,0
364,1941,0,19,0
365,1942,0,19,0
366,1943,0,19,0
367,1944,0,19,0
368,1945,0,19,0
369,1946,0,19,0
370,1947,0,19,0
371,1948,0,19,0
372,1949,0,19,0
373,1950,0,19,0
374,1951,0,19,0
375,1952,0,19,0
376,1953,0,19,0
377,1954,0,19,0
378,1955,0,19,0
379,1956,0,19,0
380,1957,0,19,0
381,1958,0,19,0
382,1959,0,19,0
383,1960,0,19,0
384,1961,0,19,0
385,1962,0,19,0
386,1963,0,19,0
387,1964,0,19,0
388,1965,0,19,0
389,1966,0,19,0
390,1967,0,19,0
391,1968,0,19,0
392,1969,0,19,0
393,1970,0,19,0
394,1971,0,19,0
395,1972,0,19,0
396,1973,0,19,0
397,1974,0,19,0
398,1975,0,19,0
399,1976,0,19,0
400,1977,0,19,0
401,1978,0,19,0
402,1979,0,19,0
403,1980,1,19,0
404,1981,1,19,0
405,1982,1,19,0
406,1983,1,19,0
407,1984,0,19,0
408,1985,0,19,0
409,1986,0,19,0
410,1987,0,19,0
411,1988,0,19,0
412,1989,0,19,0
413,1990,0,19,0
414,1991,0,19,0
415,1992,0,19,0
416,1993,0,19,0
417,1994,0,19,0
418,1995,0,19,0
419,1996,0,19,0
420,1997,0,19,0
421,1998,0,19,0
422,1999,0,19,0
423,2000,0,19,0
424,2001,0,19,0
425,2002,0,19,0
426,2003,0,19,0
427,2004,0,19,0
428,2005,0,19,0
429,2006,0,19,0
430,2007,0,19,0
431,2008,0,19,0
432,2009,0,19,0
433,2010,0,19,0
434,2011,0,19,0
435,2012,0,19,0
436,2013,0,19,0
437,2014,0,19,0
438,1948,0,35,0
439,1949,0,35,0
440,1950,0,35,0
441,1951,0,35,0
442,1952,0,35,0
443,1953,0,35,0
