,Fertility Rate - 2015
Belgium,1.7
Bulgaria,1.53
Czech Republic,1.57
Denmark,1.71
Germany,1.5
Estonia,1.58
Ireland,1.92
Greece,1.33
Spain,1.33
France,1.96
Croatia,1.4
Italy,1.35
Cyprus,1.32
Latvia,1.7
Lithuania,1.7
Luxembourg,1.47
Hungary,1.45
Malta,1.45
Netherlands,1.66
Austria,1.49
Poland,1.32
Portugal,1.31
Romania,1.58
Slovenia,1.57
Slovakia,1.4
Finland,1.65
Sweden,1.85
United Kingdom,1.8
Iceland,1.8
Liechtenstein,1.4
Norway,1.72
Switzerland,1.54
Montenegro,1.74
Macedonia,1.5
Albania,1.67
Serbia,1.46
