,Age,Fare,Survived,Pclass_2,Pclass_3,Sex_male,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Embarked_Q,Embarked_S
0,22.0,7.25,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,38.0,71.2833,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,26.0,7.925,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,35.0,53.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4,35.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,54.0,51.8625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,2.0,21.075,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
8,27.0,11.1333,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
9,14.0,30.0708,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,4.0,16.7,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
11,58.0,26.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,20.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,39.0,31.275,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
14,14.0,7.8542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,55.0,16.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,2.0,29.125,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
18,31.0,18.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,35.0,26.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21,34.0,13.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
22,15.0,8.0292,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,28.0,35.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
24,8.0,21.075,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
25,38.0,31.3875,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
27,19.0,263.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
30,40.0,27.7208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,66.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,28.0,82.1708,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,42.0,52.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
37,21.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38,18.0,18.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
39,14.0,11.2417,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,40.0,9.475,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41,27.0,21.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
43,3.0,41.5792,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
44,19.0,7.8792,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,18.0,17.8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
50,7.0,39.6875,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
51,21.0,7.8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52,49.0,76.7292,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,29.0,26.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
54,65.0,61.9792,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
56,21.0,10.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,28.5,7.2292,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5.0,27.75,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
59,11.0,46.9,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
60,22.0,7.2292,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,45.0,83.475,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
63,4.0,27.9,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
66,29.0,10.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,19.0,8.1583,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
68,17.0,7.925,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
69,26.0,8.6625,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
70,32.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
71,16.0,46.9,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
